Month,Avg. Players,Date,Trend,Twitch Viewers
July 2012,933,07-01-2012,93,
August 2012,15475,08-01-2012,100,
September 2012,16001,09-01-2012,97,
October 2012,10740,10-01-2012,87,
November 2012,14134,11-01-2012,88,
December 2012,14079,12-01-2012,84,
January 2013,16164,01-01-2013,82,
February 2013,17373,02-01-2013,86,
March 2013,15960,03-01-2013,94,
April 2013,16006,04-01-2013,86,
May 2013,18710,05-01-2013,84,
June 2013,18120,06-01-2013,82,
July 2013,20493,07-01-2013,70,
August 2013,25962,08-01-2013,70,
September 2013,27679,09-01-2013,67,
October 2013,27902,10-01-2013,67,
November 2013,29891,11-01-2013,66,
December 2013,46788,12-01-2013,60,
January 2014,55627,01-01-2014,56,
February 2014,59791,02-01-2014,53,
March 2014,70143,03-01-2014,63,
April 2014,78881,04-01-2014,58,
May 2014,84925,05-01-2014,53,
June 2014,84164,06-01-2014,52,
July 2014,106138,07-01-2014,52,
August 2014,133186,08-01-2014,56,
September 2014,131035,09-01-2014,54,
October 2014,133538,10-01-2014,54,
November 2014,147329,11-01-2014,50,
December 2014,183590,12-01-2014,52,
January 2015,234071,01-01-2015,53,
February 2015,239935,02-01-2015,50,
March 2015,267996,03-01-2015,51,
April 2015,291749,04-01-2015,52,
May 2015,317286,05-01-2015,50,
June 2015,344156,06-01-2015,48,
July 2015,329532,07-01-2015,42,
August 2015,357535,08-01-2015,41,
September 2015,355905,09-01-2015,44,
October 2015,362766,10-01-2015,44,
November 2015,360926,11-01-2015,44,
December 2015,377447,12-01-2015,45,
January 2016,365371,01-01-2016,37,
February 2016,376285,02-01-2016,40,
March 2016,379427,03-01-2016,41,
April 2016,375796,04-01-2016,45,
May 2016,338738,05-01-2016,37,
June 2016,334311,06-01-2016,40,
July 2016,353778,07-01-2016,37,
August 2016,347229,08-01-2016,33,
September 2016,322526,09-01-2016,34,
October 2016,333077,10-01-2016,34,
November 2016,329045,11-01-2016,31,
December 2016,342196,12-01-2016,27,"41,089"
January 2017,393110,01-01-2017,24,"97,356"
February 2017,402386,02-01-2017,23,"60,140"
March 2017,386909,03-01-2017,21,"49,572"
April 2017,392199,04-01-2017,22,"50,835"
May 2017,371829,05-01-2017,18,"31,789"
June 2017,374388,06-01-2017,16,"30,311"
July 2017,377589,07-01-2017,18,"91,439"
August 2017,374426,08-01-2017,19,"27,157"
September 2017,354402,09-01-2017,23,"37,907"
October 2017,341861,10-01-2017,24,"38,201"
November 2017,321131,11-01-2017,24,"35,829"
December 2017,340877,12-01-2017,26,"25,176"
January 2018,382031,01-01-2018,24,"93,474"
February 2018,382457,02-01-2018,23,"55,532"
March 2018,354270,03-01-2018,25,"37,771"
April 2018,289077,04-01-2018,20,"31,916"
May 2018,262171,05-01-2018,18,"35,521"
June 2018,266862,06-01-2018,17,"30,443"
July 2018,273307,07-01-2018,16,"36,018"
August 2018,283531,08-01-2018,14,"29,127"
September 2018,333164,09-01-2018,14,"98,265"
October 2018,325908,10-01-2018,13,"32,469"
November 2018,310085,11-01-2018,12,"37,682"
December 2018,395509,12-01-2018,15,"34,333"
January 2019,401367,01-01-2019,11,"41,327"
February 2019,371359,02-01-2019,12,"70,479"
March 2019,390240,03-01-2019,12,"47,712"
April 2019,351990,04-01-2019,10,"42,745"
May 2019,364417,05-01-2019,10,"39,941"
June 2019,389377,06-01-2019,9,"41,944"
July 2019,393783,07-01-2019,8,"54,733"
August 2019,415097,08-01-2019,9,"62,016"
September 2019,410926,09-01-2019,9,"63,798"
October 2019,408995,10-01-2019,9,"60,350"
November 2019,426081,11-01-2019,9,"49,503"
December 2019,456702,12-01-2019,8,"54,372"
January 2020,501196,01-01-2020,8,"45,524"
